"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"PINHD-1X2";"1X02";"CN3, CN4, CN5, JP2";"PIN HEADER";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";
"2";"";"PINHD-1X7";"1X07";"JP3, JP6";"PIN HEADER";"";
"9";"100nF";"C-EU025-025X050";"C025-025X050";"C1, C2, C3, C4, C5, C10, C11, C12, C14";"CAPACITOR, European symbol";"";
"1";"180pf";"C-EU025-025X050";"C025-025X050";"C8";"CAPACITOR, European symbol";"";
"3";"1K";"R-EU_0204/7";"0204/7";"R5, R6, R8";"RESISTOR, European symbol";"";
"2";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"D1, D2";"DIODE";"";
"2";"1nf";"C-EU025-025X050";"C025-025X050";"C7, C9";"CAPACITOR, European symbol";"";
"1";"2.2uf";"CPOL-EUTAP5-45";"TAP5-45";"C13";"POLARIZED CAPACITOR, European symbol";"";
"1";"29F010";"29F010";"DIL32";"IC4";"";"";
"1";"32KSRAM";"32KSRAM";"DIL28-3";"IC2A";"Standard pinout 32K x 8 bit Static RAM";"";
"1";"32KSRAM-DIL600";"32KSRAM-DIL600";"DIL28-6";"IC2B";"";"";
"1";"330";"R-EU_0204/7";"0204/7";"R9";"RESISTOR, European symbol";"";
"1";"4.7K / 10K ";"G06R";"SIL7";"RN2";"SIL RESISTOR";"";
"1";"470";"R-EU_0204/7";"0204/7";"R7";"RESISTOR, European symbol";"";
"1";"47pf";"C-EU025-025X050";"C025-025X050";"C6";"CAPACITOR, European symbol";"";
"1";"4K7";"R-EU_0207/10";"0207/10";"R1";"RESISTOR, European symbol";"";
"1";"Atom CPU socket";"WD65C02";"DIL40";"CN1";"";"";
"1";"FARNELL-1550095";"FARNELL-1550095";"SPST-TOGGLE";"SW1";"";"";
"1";"JTAG-CONN2X3";"JTAG-CONN2X3";"2X3";"CN2";"JTAG ISP for programing Xilinx CPLD chips";"";
"1";"LEXXCZ";"LEXXCZ";"TO92-";"REG1";"LEX33CZ 3.3v voltage reg.";"";
"1";"LS02";"7402N";"DIL14";"IC6";"Quad 2-input NOR gate";"";
"1";"LS393";"DIL14";"DIL14";"IC44";"Dual In Line / Socket";"";
"1";"LS74";"74S74N";"DIL14";"IC2";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";
"1";"LS86";"7486N";"DIL14";"IC5";"Quad 2-input EXCLUSIVE-OR (XOR) gate";"";
"1";"WD65C02";"WD65C02";"DIL40";"IC1";"";"";
"1";"XC9536XL-PC44VQ44";"XC9536XL-PC44VQ44";"SQFP-S-10X10-44";"IC3";"Xilinx XC9636/XC9536XL in PLCC-44";"";
